1,2,3,4,5,6,7
"(1, 0.8406700179073572)","(2, 0.599047108795209)","(3, 0.5823077138415967)","(4, 0.4424173557435599)","(5, 0.2899576666172119)","(6, 0.2472808881648243)","(7, 0.1727199960243984)"
"(1, 0.6839117238318149)","(2, 0.7457032996297481)","(3, 0.5536451668300272)","(4, 0.5169397035808398)","(5, 0.3037059226218122)","(6, 0.2096579421677114)","(7, 0.166686220852335)"
"(1, 0.6975554613120606)","(2, 0.6958035093277394)","(3, 0.5780201735250364)","(4, 0.4552555030249801)","(5, 0.2800344226001014)","(6, 0.1985715577680592)","(7, 0.1476171390220808)"
"(1, 0.8362534794767182)","(2, 0.5743536456931578)","(3, 0.5704043722062808)","(4, 0.4988786255451614)","(5, 0.3559672315675855)","(6, 0.268901001708307)","(7, 0.1434851595827678)"
"(1, 0.7423605597669873)","(2, 0.6646902000408167)","(3, 0.594093790382635)","(4, 0.4466320551241314)","(5, 0.3381760984474857)","(6, 0.2080449015080228)","(7, 0.0785271318631301)"
"(1, 0.8208991025834036)","(2, 0.6308223506221922)","(3, 0.6122888186087339)","(4, 0.4937599477478402)","(5, 0.3627967934006404)","(6, 0.1582234447110304)","(7, 0.0913635451004248)"
"(1, 0.7797026903008578)","(2, 0.6670748197670816)","(3, 0.6307526419855165)","(4, 0.3852464084527777)","(5, 0.3282439931887623)","(6, 0.1801955139359116)","(7, 0.1167740804414031)"
"(1, 0.8283419156381953)","(2, 0.6994881371237427)","(3, 0.5572798237076135)","(4, 0.399317167131211)","(5, 0.2347381376695973)","(6, 0.1611309600598134)","(7, 0.1608479811944224)"
"(1, 0.8057341018229951)","(2, 0.6964251886668553)","(3, 0.4974020544215088)","(4, 0.5274630258551096)","(5, 0.3086587121313381)","(6, 0.3030612010608594)","(7, 0.0095178631705955)"
"(1, 0.6899378169045436)","(2, 0.763082100233281)","(3, 0.6403886581467444)","(4, 0.360312697944235)","(5, 0.2674643486927019)","(6, 0.2001742207745151)","(7, 0.1829490515026119)"
"(1, 0.8048613492077379)","(2, 0.7138797499907631)","(3, 0.5372145805654173)","(4, 0.3632384488583937)","(5, 0.224356637103547)","(6, 0.1801246664870317)","(7, 0.0117077073249343)"
"(1, 0.7016570795102477)","(2, 0.600007066023245)","(3, 0.5609220544568283)","(4, 0.5104204437323745)","(5, 0.2581673990727284)","(6, 0.2124242127948715)","(7, 0.1013568944713533)"
"(1, 0.8317025274403561)","(2, 0.6192486968122074)","(3, 0.5338291416184817)","(4, 0.5043509102557033)","(5, 0.3217457598342608)","(6, 0.3066281120965496)","(7, 0.0988752308294136)"
"(1, 0.6939553554941028)","(2, 0.733177556053123)","(3, 0.6384001545317264)","(4, 0.5229194205726275)","(5, 0.2893507426347707)","(6, 0.143397021668575)","(7, 0.1507055618433145)"
