1,2,3,4,5,6,7
"(1, 0.4309403883887358)","(2, 0.375813083267343)","(3, 0.3090252126188129)","(4, 0.763573643320397)","(5, 0.419771142019241)","(6, 0.2644686103252687)","(7, 0.1761131297916612)"
"(1, 0.3542736903200537)","(2, 0.3125821595589926)","(3, 0.3269182908253898)","(4, 0.6638312123644716)","(5, 0.3825067407157104)","(6, 0.1511225129266847)","(7, 0.1076461614530847)"
"(1, 0.2870540654800992)","(2, 0.3663230980484487)","(3, 0.3913556194138376)","(4, 0.6963213916430898)","(5, 0.2887311568663619)","(6, 0.2256007013116471)","(7, 0.1999310237966048)"
"(1, 0.2754841118816051)","(2, 0.3806672164242351)","(3, 0.4695308936022229)","(4, 0.7827492307674702)","(5, 0.3448056439790438)","(6, 0.3042863049196823)","(7, 0.045927140464234)"
"(1, 0.370095109063049)","(2, 0.4372056286907076)","(3, 0.4901586105655209)","(4, 0.7745252899032969)","(5, 0.335417750874446)","(6, 0.1390102506806046)","(7, 0.0751824974843073)"
"(1, 0.2965400426502255)","(2, 0.3313429092513685)","(3, 0.4593246042445612)","(4, 0.6980911637828161)","(5, 0.42204020130819)","(6, 0.2890827195435627)","(7, 0.0750555771670167)"
"(1, 0.3461177109694862)","(2, 0.3468794903498604)","(3, 0.4038050241064065)","(4, 0.7856261368080688)","(5, 0.2804734484208684)","(6, 0.2899239649638612)","(7, 0.0375017155348622)"
"(1, 0.340921713336132)","(2, 0.3747465065608801)","(3, 0.3082439254859125)","(4, 0.6932309601881985)","(5, 0.3819523083883778)","(6, 0.1740950849368514)","(7, 0.0975466910771866)"
"(1, 0.3375908515838164)","(2, 0.3310135976799463)","(3, 0.345494460828219)","(4, 0.7561500290832701)","(5, 0.3617891141262888)","(6, 0.1775802207792523)","(7, 0.1571011035814714)"
"(1, 0.3294569465919017)","(2, 0.3014668738229663)","(3, 0.3224596752869111)","(4, 0.7308355583928056)","(5, 0.3155044907721533)","(6, 0.2233886056779775)","(7, 0.0934376363878331)"
"(1, 0.285763306821605)","(2, 0.3470325414008964)","(3, 0.3991872370036026)","(4, 0.7681019223097808)","(5, 0.4277333380133137)","(6, 0.1567351139724191)","(7, 0.1924535867026698)"
"(1, 0.2530633249969706)","(2, 0.3456665298902347)","(3, 0.4077989435920272)","(4, 0.6610849594443423)","(5, 0.3161042070184635)","(6, 0.2612636747270261)","(7, 0.0276086522413354)"
"(1, 0.3162994248395538)","(2, 0.3559506943712341)","(3, 0.3443993062311392)","(4, 0.6983193621196391)","(5, 0.315412482199248)","(6, 0.1783693467254139)","(7, 0.1793437844256062)"
"(1, 0.2936712005399912)","(2, 0.3135762310569949)","(3, 0.4299421754974591)","(4, 0.6353316769888269)","(5, 0.3505280446747327)","(6, 0.3260820117454438)","(7, 0.1410687411018197)"
"(1, 0.3504188177744157)","(2, 0.356881488839363)","(3, 0.3700322374271432)","(4, 0.6320102778500998)","(5, 0.3382938243365407)","(6, 0.1781007027713896)","(7, 0.2009551758686999)"
"(1, 0.2506672796038615)","(2, 0.472985586764801)","(3, 0.4685895715151013)","(4, 0.7074458421029508)","(5, 0.3968557545137675)","(6, 0.278154710036853)","(7, 0.2108533106284887)"
"(1, 0.3010332044843854)","(2, 0.3344600115519862)","(3, 0.3786253182064915)","(4, 0.6663528965309591)","(5, 0.3193749986027601)","(6, 0.2083539011205076)","(7, 0.1551904626391888)"
"(1, 0.3162543898683312)","(2, 0.3264686785542752)","(3, 0.4588453644847766)","(4, 0.7024853574512291)","(5, 0.3892951513360141)","(6, 0.2398351452299845)","(7, 0.19642605885487)"
"(1, 0.2327994176330775)","(2, 0.3067329981931149)","(3, 0.4918228641524159)","(4, 0.7842411129747128)","(5, 0.3704474959779835)","(6, 0.2653209113057502)","(7, 0.1184694568074817)"
"(1, 0.3132224937444301)","(2, 0.4067678632257067)","(3, 0.4548442331475903)","(4, 0.6866449281787009)","(5, 0.282797962249386)","(6, 0.2709422434537753)","(7, 0.0401734964998573)"
"(1, 0.4091226082296651)","(2, 0.3838542864784641)","(3, 0.4875158441058459)","(4, 0.7556067136034915)","(5, 0.3256550318886969)","(6, 0.2399804459547349)","(7, 0.1388409358731831)"
"(1, 0.3394459034435588)","(2, 0.3678991470423536)","(3, 0.3444528969372763)","(4, 0.740187690033727)","(5, 0.3749059538760128)","(6, 0.1805833807906968)","(7, 0.156281663327159)"
"(1, 0.3549555852165748)","(2, 0.2916925764737051)","(3, 0.4851400748540054)","(4, 0.7835305022084095)","(5, 0.3345940865630428)","(6, 0.2428805882505571)","(7, 0.1134630882212478)"
"(1, 0.3349485337279574)","(2, 0.4197604438444889)","(3, 0.4244823524441988)","(4, 0.6681677800068725)","(5, 0.4217291032564981)","(6, 0.2366092867831886)","(7, 0.1018090367435821)"
"(1, 0.3361844316708094)","(2, 0.4243457452691305)","(3, 0.4961869069333124)","(4, 0.6295562028696002)","(5, 0.3227858091400812)","(6, 0.2870940513998735)","(7, 0.0334767885241943)"
"(1, 0.3711430003564046)","(2, 0.4702129818319727)","(3, 0.434006430487416)","(4, 0.7736512765014065)","(5, 0.3660181984347876)","(6, 0.3236986508127847)","(7, 0.1683731340480141)"
"(1, 0.3933864162308454)","(2, 0.4105641743340978)","(3, 0.3909660226161678)","(4, 0.6520486376034519)","(5, 0.3834096674815843)","(6, 0.2379259853775558)","(7, 0.0167488876351448)"
"(1, 0.3679839122904727)","(2, 0.4136042236970772)","(3, 0.3504886446294302)","(4, 0.7340355325395469)","(5, 0.3508414690477375)","(6, 0.2159449604648047)","(7, 0.1636836469972327)"
"(1, 0.2337877887719415)","(2, 0.3430601553363557)","(3, 0.4093289259617618)","(4, 0.6330061882199759)","(5, 0.3270034507798106)","(6, 0.2799108834494226)","(7, 0.0122890657895668)"
"(1, 0.3514285809155909)","(2, 0.4176093532866213)","(3, 0.4424106723457525)","(4, 0.6952019402678095)","(5, 0.2985691292072064)","(6, 0.1434359562255828)","(7, 0.0136445674537031)"
"(1, 0.3329328401697671)","(2, 0.347412107239022)","(3, 0.3608449474381274)","(4, 0.7798251414693833)","(5, 0.4293014003157326)","(6, 0.1428221225756232)","(7, 0.2111642149593608)"
